dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
[0.8771929824561403],[0.6250000000000001],[0.4854368932038835],0.9949748743718593,0.2796610169491525,0.43660418963616276
[0.9647577092511013],[0.8884381338742393],[0.8233082706766918],0.9950980392156863,0.2867231638418079,0.44517543859649084
[0.9964633068081344],[0.93488179178764],[0.88046875],0.9859550561797753,0.4957627118644068,0.659774436090225
[0.9929266136162688],[0.9685209141871496],[0.9452861952861953],0.9855072463768116,0.480225988700565,0.6457739791073119
[0.9532710280373832],[0.878048780487805],[0.8138297872340425],0.9869791666666666,0.5353107344632768,0.6941391941391937
[0.8857142857142857],[0.44285714285714284],[0.29523809523809524],0.98125,0.4435028248587571,0.6108949416342407
[0.9142857142857143],[0.7529411764705883],[0.64],0.996415770609319,0.3926553672316384,0.5633232016210735
[0.9605263157894737],[0.874251497005988],[0.8021978021978022],0.9964028776978417,0.3912429378531073,0.5618661257606486
[0.9779735682819384],[0.958963282937365],[0.940677966101695],0.9964912280701754,0.4011299435028249,0.5720040281973813
[0.9342105263157895],[0.8352941176470589],[0.7553191489361702],0.9965034965034965,0.4025423728813559,0.5734406438631786
[0.9938107869142352],[0.9586353944562901],[0.9258649093904449],0.9206896551724137,0.7542372881355932,0.8291925465838503
[1.0],[0.5375],[0.36752136752136755],0.9464285714285714,0.673728813559322,0.7871287128712865
[0.9473684210526315],[0.8244274809160306],[0.7297297297297297],0.9842767295597484,0.442090395480226,0.610136452241715
[0.986784140969163],[0.8906560636182902],[0.8115942028985508],0.9965753424657534,0.4110169491525424,0.5819999999999995
[0.9142857142857143],[0.8],[0.7111111111111111],0.9962825278810409,0.3785310734463277,0.5486182190378706
[0.9473684210526315],[0.8686327077747988],[0.801980198019802],0.9959349593495935,0.346045197740113,0.5136268343815509
[0.9090909090909091],[0.7547169811320754],[0.6451612903225806],0.9959349593495935,0.346045197740113,0.5136268343815509
[0.9964633068081344],[0.9591489361702128],[0.9245283018867925],0.9201388888888888,0.748587570621469,0.8255451713395634
[0.986784140969163],[0.8598848368522072],[0.7619047619047619],0.954639175257732,0.653954802259887,0.7761944677284152
[0.9605263157894737],[0.8021978021978022],[0.6886792452830188],0.9585152838427947,0.6200564971751412,0.7530017152658657
[0.9929266136162688],[0.9706136560069144],[0.9492814877430262],0.9853372434017595,0.4745762711864407,0.6406101048617726
[0.9076923076923077],[0.8458781362007168],[0.7919463087248322],0.9906832298136646,0.4505649717514124,0.6194174757281549
[0.9485981308411215],[0.8706218727662617],[0.8044914134742405],0.9868421052631579,0.5296610169491526,0.6893382352941171
[0.9823788546255506],[0.8462998102466793],[0.7433333333333333],0.9775280898876404,0.4915254237288136,0.6541353383458641
