;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_100_;edit_distance_dict_101_;edit_distance_dict_102_;edit_distance_dict_103_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_100_;edit_distance_unique_dict_101_;edit_distance_unique_dict_102_;edit_distance_unique_dict_103_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
34;580;844;4275;6;16;0;253;1.4980928162746345;915;0;0;0;0;0;0;8;0;1;0;0;0;0;0;930;834;119;180;82;42;23;3;9;14;915;0;0;0;0;0;0;8;0;1;0;0;0;0;0;930;834;119;180;82;42;23;3;9;85;2032;528;248;1009;114;1429;0;100;26;0.02661685734298389;3;2001-09-16 02:53:12;1000608792;6;10
35;1516;2010;10469;3;17;0;831;1.7869486404833836;3112;0;0;0;0;5;44;229;3;2;1;0;0;0;0;1659;1613;497;685;294;92;29;8;2;15;3112;0;0;0;0;5;44;229;3;2;1;0;0;0;0;1659;1613;497;685;294;92;29;8;2;240;4792;1799;613;1901;149;2149;0;152;84;0.014216200744203798;2;2001-09-16 02:58:12;1000609092;3;9
36;334;388;2439;2;12;0;96;1.179637526652452;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514;404;155;33;34;11;7;0;1;9;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514;404;155;33;34;11;7;0;1;70;975;506;229;524;97;997;0;92;21;0.03977039770397704;3;2001-09-16 03:03:12;1000609392;2;10
37;1397;826;4776;6;20;0;229;1.9104443426477324;1230;0;0;0;0;17;20;17;16;11;1;4;9;0;0;1160;945;376;206;137;112;65;21;19;17;1230;0;0;0;0;17;20;17;16;11;1;4;9;0;0;1160;945;376;206;137;112;65;21;19;226;2677;715;519;375;80;1850;0;110;69;0.016666666666666666;4;2001-09-16 03:08:12;1000609692;6;9
38;380;498;2401;3;15;0;109;1.3198620009857072;711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;635;303;235;72;31;17;19;0;6;9;711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;635;303;235;72;31;17;19;0;6;137;960;409;414;306;42;886;0;238;44;0.01749271137026239;3;2001-09-16 03:13:12;1000609992;3;9
39;418;445;2803;4;14;0;66;1.38468809073724;622;0;0;0;0;1;3;0;0;0;0;0;0;0;0;730;304;332;96;14;3;8;2;1;11;622;0;0;0;0;1;3;0;0;0;0;0;0;0;0;730;304;332;96;14;3;8;2;1;87;1295;412;256;589;233;911;0;239;54;0.08312522297538352;3;2001-09-16 03:18:12;1000610292;4;10
40;228;266;1269;3;15;0;117;1.407190635451505;467;0;0;0;0;0;0;0;0;0;0;0;0;1;0;290;202;123;40;28;19;21;4;1;18;467;0;0;0;0;0;0;0;0;0;0;0;0;1;0;290;202;123;40;28;19;21;4;1;65;537;249;228;66;17;762;0;138;36;0.013396375098502758;2;2001-09-16 03:23:12;1000610592;3;10
41;366;593;1980;3;15;0;71;2.1746611053180396;550;0;0;0;0;20;21;1;3;2;0;1;2;0;0;513;300;90;205;37;77;44;15;37;17;550;0;0;0;0;20;21;1;3;2;0;1;2;0;0;513;300;90;205;37;77;44;15;37;52;1151;386;258;54;16;897;0;104;40;0.00808080808080808;2;2001-09-16 03:28:12;1000610892;3;12
42;254;516;1930;2;12;0;119;1.5853932584269663;571;0;0;0;0;3;0;0;0;1;0;0;0;0;0;491;385;135;50;41;27;65;9;2;14;571;0;0;0;0;3;0;0;0;1;0;0;0;0;0;491;385;135;50;41;27;65;9;2;71;968;335;287;135;47;973;0;64;25;0.024352331606217616;2;2001-09-16 03:33:12;1000611192;2;10
43;4635;3748;29014;5;105;0;304;2.47309915518008;3006;0;33;40;11;3;9;4;3;4;0;0;0;0;0;2488;3683;2995;785;249;52;42;59;28;103;3006;0;33;40;11;3;9;4;3;4;0;0;0;0;0;2488;3683;2995;785;249;52;42;59;28;71;9794;1969;1356;14386;2212;8792;2;474;72;0.07623642943305187;4;2001-09-16 03:38:12;1000611492;5;10
