;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
35;487;350;3643;5;13;0;185;1.0723626852659112;1004;0;0;0;0;0;0;0;0;0;0;595;361;239;62;22;9;2;0;0;7;1004;0;0;0;0;0;0;0;0;0;0;595;361;239;62;22;9;2;0;0;65;1161;706;177;1346;362;1307;0;101;56;0.09936865220971726;2;2001-09-15 02:56:34;1000522594;5;11
36;354;651;5167;4;12;0;153;0.9327948303715671;1719;0;0;0;0;0;0;0;0;0;0;581;414;199;108;39;15;2;12;6;9;1719;0;0;0;0;0;0;0;0;0;0;581;414;199;108;39;15;2;12;6;103;1195;1389;255;2015;332;1726;0;220;21;0.06422905784484427;3;2001-09-15 03:01:34;1000522894;3;12
37;310;548;3817;4;13;0;123;1.021489971346705;1487;1;0;0;0;0;0;0;0;0;0;595;289;256;82;25;6;19;9;23;10;1487;1;0;0;0;0;0;0;0;0;0;595;289;256;82;25;6;19;9;23;110;1081;1185;293;978;121;1594;0;140;49;0.03170028818443804;3;2001-09-15 03:06:34;1000523194;4;10
38;651;603;4226;7;14;0;206;1.346177370030581;1557;4;1;0;0;0;0;0;0;0;0;589;355;221;409;93;20;7;7;7;11;1557;4;1;0;0;0;0;0;0;0;0;589;355;221;409;93;20;7;7;7;219;1562;1043;240;885;33;1603;0;153;102;0.007808802650260294;2;2001-09-15 03:11:34;1000523494;7;10
39;948;609;4729;3;15;0;170;1.562169312169312;1135;2;2;1;0;0;0;0;0;0;0;816;1046;314;400;30;10;4;17;3;12;1135;2;2;1;0;0;0;0;0;0;0;816;1046;314;400;30;10;4;17;3;151;2482;640;337;829;5;1315;0;137;57;0.0010573059843518714;2;2001-09-15 03:16:34;1000523794;3;10
40;440;449;2631;3;12;0;174;0.90633608815427;1309;0;0;0;0;0;0;0;0;0;0;545;453;143;63;15;3;2;8;0;8;1309;0;0;0;0;0;0;0;0;0;0;545;453;143;63;15;3;2;8;0;110;1054;956;247;79;5;1103;0;139;32;0.0019004180919802356;1;2001-09-15 03:21:34;1000524094;3;9
41;270;285;2338;7;11;0;84;0.6671415004748338;1340;0;0;0;0;0;0;0;0;0;0;448;200;46;26;14;5;7;14;6;9;1340;0;0;0;0;0;0;0;0;0;0;448;200;46;26;14;5;7;14;6;102;663;1093;164;210;19;996;0;77;88;0.008126603934987169;3;2001-09-15 03:26:34;1000524394;5;9
42;204;226;1367;4;15;0;121;1.028735632183908;515;0;0;0;0;0;0;0;0;0;0;373;188;95;26;15;3;2;1;0;8;515;0;0;0;0;0;0;0;0;0;0;373;188;95;26;15;3;2;1;0;88;590;268;151;137;7;880;0;97;45;0.005120702267739576;2;2001-09-15 03:31:34;1000524694;4;10
43;269;271;1974;4;16;0;126;0.8865083960625362;966;1;1;0;0;0;0;0;0;0;0;360;181;151;22;31;8;5;0;1;11;966;1;1;0;0;0;0;0;0;0;0;360;181;151;22;31;8;5;0;1;168;609;597;227;234;33;1006;0;79;63;0.01669195751138088;3;2001-09-15 03:36:34;1000524994;4;11
44;203;444;39682;7;15;0;134;1.0141723356009071;681;0;0;0;0;0;0;0;0;0;0;678;251;69;49;20;8;7;0;1;9;681;0;0;0;0;0;0;0;0;0;0;678;251;69;49;20;8;7;0;1;87;896;414;233;37902;438;10105;46;971;107;0.011037750113401542;2;2001-09-15 03:41:34;1000525294;5;9
45;345;439;5594;4;15;0;196;0.8447630922693267;1688;9;0;0;0;0;0;0;0;0;0;900;305;215;52;18;6;0;4;11;10;1688;9;0;0;0;0;0;0;0;0;0;900;305;215;52;18;6;0;4;11;128;1363;1267;254;2357;0;1776;0;254;49;0.0;0;2001-09-15 03:46:34;1000525594;4;10
46;425;436;3766;7;15;0;100;1.2741788321167884;926;0;0;0;0;0;0;0;0;0;0;445;462;195;90;16;23;27;0;8;9;926;0;0;0;0;0;0;0;0;0;0;445;462;195;90;16;23;27;0;8;97;1083;662;250;1526;0;1216;1;55;53;0.0;0;2001-09-15 03:51:34;1000525894;6;12
47;687;571;4911;10;11;0;185;1.4333231614281354;1212;0;0;0;0;0;0;0;0;0;0;695;699;448;91;34;9;57;15;17;9;1212;0;0;0;0;0;0;0;0;0;0;695;699;448;91;34;9;57;15;17;148;1893;816;235;1607;0;1209;0;175;66;0.0;0;2001-09-15 03:56:34;1000526194;3;9
48;791;529;3483;4;15;0;177;1.559102402022756;1083;0;2;0;0;0;0;0;0;0;0;935;524;209;116;100;87;54;49;5;11;1083;0;2;0;0;0;0;0;0;0;0;935;524;209;116;100;87;54;49;5;142;1868;680;297;277;0;1508;0;160;114;0.0;0;2001-09-15 04:01:34;1000526494;4;10
49;418;503;2714;3;13;0;83;1.2700636942675159;970;52;0;0;0;0;0;0;0;0;0;738;340;141;55;14;9;16;6;14;10;970;52;0;0;0;0;0;0;0;0;0;738;340;141;55;14;9;16;6;14;115;1222;722;213;342;0;1232;0;51;73;0.0;0;2001-09-15 04:06:34;1000526794;3;10
50;1009;573;4533;7;11;0;111;1.7511475409836066;990;19;0;0;0;0;0;0;0;0;0;842;549;139;131;25;340;15;0;0;10;990;19;0;0;0;0;0;0;0;0;0;842;549;139;131;25;340;15;0;0;105;1751;721;362;1426;0;1170;0;70;29;0.0;0;2001-09-15 04:11:34;1000527094;6;11
51;444;537;2642;3;13;0;131;1.5661664392905865;861;0;0;0;0;0;0;0;0;0;0;434;395;229;109;52;25;78;3;13;9;861;0;0;0;0;0;0;0;0;0;0;434;395;229;109;52;25;78;3;13;146;1113;501;308;369;0;1458;0;108;58;0.0;0;2001-09-15 04:16:34;1000527394;3;10
52;317;342;1963;4;9;0;120;1.0212765957446808;710;0;0;0;0;0;0;0;0;0;0;632;306;138;29;11;6;1;0;0;7;710;0;0;0;0;0;0;0;0;0;0;632;306;138;29;11;6;1;0;0;152;983;398;180;115;0;1048;0;50;41;0.0;0;2001-09-15 04:21:34;1000527694;4;9
53;278;405;1769;2;16;0;117;1.1840642371834467;675;12;6;0;0;0;0;0;0;0;0;539;199;106;33;17;3;6;8;15;11;675;12;6;0;0;0;0;0;0;0;0;539;199;106;33;17;3;6;8;15;101;744;400;257;140;0;944;0;66;34;0.0;0;2001-09-15 04:26:34;1000527994;2;10
54;506;370;2222;4;14;0;171;1.124063670411985;938;7;1;3;0;0;0;0;0;0;0;561;354;190;40;15;8;1;7;11;12;938;7;1;3;0;0;0;0;0;0;0;561;354;190;40;15;8;1;7;11;201;1062;490;212;68;0;969;0;167;88;0.0;0;2001-09-15 04:31:34;1000528294;4;8
55;573;894;4728;6;15;0;220;1.1532557563753405;1822;3;0;0;0;0;0;0;0;0;0;1018;567;340;147;53;33;49;1;6;10;1822;3;0;0;0;0;0;0;0;0;0;1018;567;340;147;53;33;49;1;6;192;1966;1320;341;654;0;1578;0;159;204;0.0;0;2001-09-15 04:36:34;1000528594;6;9
56;540;566;2895;4;15;0;141;1.657062825130052;1088;12;5;0;0;0;0;0;0;0;0;584;244;196;69;18;102;145;11;25;11;1088;12;5;0;0;0;0;0;0;0;0;584;244;196;69;18;102;145;11;25;161;1266;721;210;383;0;1199;0;164;122;0.0;0;2001-09-15 04:41:34;1000528894;4;11
57;193;200;1274;4;20;0;71;1.0434782608695652;557;1;1;3;2;1;0;0;0;0;0;279;168;56;31;12;8;2;4;2;14;557;1;1;3;2;1;0;0;0;0;0;279;168;56;31;12;8;2;4;2;127;470;310;149;132;0;695;0;115;22;0.0;0;2001-09-15 04:46:34;1000529194;4;10
58;465;433;2347;4;17;0;128;1.3091100579252237;682;0;1;2;2;3;0;2;0;1;0;551;323;221;87;20;3;1;0;0;18;682;0;1;2;2;3;0;2;0;1;0;551;323;221;87;20;3;1;0;0;95;898;394;384;377;0;928;0;93;87;0.0;0;2001-09-15 04:51:34;1000529494;4;11
59;304;397;2031;4;15;0;138;1.1605916534601162;878;0;0;0;0;0;0;0;0;0;0;407;278;194;74;36;14;6;4;2;9;878;0;0;0;0;0;0;0;0;0;0;407;278;194;74;36;14;6;4;2;169;731;457;398;72;0;993;0;68;41;0.0;0;2001-09-15 04:56:34;1000529794;4;10
60;551;441;2836;4;15;0;120;1.3567323481116584;1071;12;10;0;0;0;0;0;0;0;0;533;388;232;93;25;14;11;11;36;11;1071;12;10;0;0;0;0;0;0;0;0;533;388;232;93;25;14;11;11;36;117;1114;769;316;361;0;1273;0;72;39;0.0;0;2001-09-15 05:01:34;1000530094;4;10
61;288;332;1826;5;12;0;119;1.2678347934918648;655;1;0;0;0;0;0;0;0;0;0;460;208;150;37;28;30;14;11;4;10;655;1;0;0;0;0;0;0;0;0;0;460;208;150;37;28;30;14;11;4;126;756;367;230;220;0;1027;0;28;24;0.0;0;2001-09-15 05:06:34;1000530394;5;9
62;301;320;2767;4;15;0;168;0.8308557653676175;1516;0;6;1;0;0;0;0;0;0;0;404;317;151;39;17;19;11;5;3;12;1516;0;6;1;0;0;0;0;0;0;0;404;317;151;39;17;19;11;5;3;106;772;1104;339;266;0;1143;0;57;62;0.0;0;2001-09-15 05:11:34;1000530694;4;11
