,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max
57,13416,14316,31505,5,15,0,1507,2.0736152779,1841,6,357,23465,4635,537,98,48,1,8,1,11,1841,6,357,23465,4635,537,98,48,1,8,1,121,29092,184,95,499,314,8183,19,600,135,0.0099647742,3,2001-07-13 04:53:59,5,9
58,7365,12750,25802,2,15,0,3299,1.896731055,3740,4,595,16731,3793,586,86,30,3,4,0,12,3740,4,595,16731,3793,586,86,30,3,4,0,107,21722,317,129,172,223,6736,16,508,120,0.0086410664,2,2001-07-13 04:58:59,2,10
59,1966,1490,7344,5,13,0,1923,1.3584670725,2091,0,1634,2806,423,172,38,43,6,9,6,9,2091,0,1634,2806,423,172,38,43,6,9,6,37,4864,118,286,100,50,2205,0,136,21,0.0068073519,3,2001-07-13 05:03:59,5,13
60,3619,2618,9894,3,15,0,1441,1.7297043151,1641,3,1458,5055,946,305,102,47,7,5,2,10,1641,3,1458,5055,946,305,102,47,7,5,2,40,7869,155,66,304,110,2925,0,219,45,0.0111178492,2,2001-07-13 05:08:59,3,11
61,2419,1026,5777,4,15,0,471,1.6967198423,762,5,1291,2886,338,218,26,42,4,6,1,10,762,5,1291,2886,338,218,26,42,4,6,1,62,4715,224,107,183,104,1495,3,111,39,0.0180024234,3,2001-07-13 05:13:59,4,8
62,2849,5314,9586,8,16,0,182,2.1822079314,306,6,583,6488,1414,354,68,74,7,22,7,11,306,6,583,6488,1414,354,68,74,7,22,7,32,8925,68,123,225,114,2799,5,202,62,0.0118898623,2,2001-07-13 05:18:59,6,9
63,14364,14204,32760,5,15,0,2124,2.0746044401,2393,4,341,24367,4168,978,138,169,24,24,2,11,2393,4,341,24367,4168,978,138,169,24,24,2,41,30054,222,171,136,41,7947,5,593,160,0.0012512971,2,2001-07-13 05:23:59,5,10
64,12279,13586,29881,4,15,0,2138,2.0476030729,2474,3,179,22018,4143,819,54,86,3,11,9,12,2474,3,179,22018,4143,819,54,86,3,11,9,43,27302,271,55,59,42,7159,5,490,128,0.0014053873,3,2001-07-13 05:28:59,4,9
65,8737,9115,23119,5,17,0,3494,1.815758679,3879,0,580,15504,2513,404,102,38,29,15,6,13,3879,0,580,15504,2513,404,102,38,29,15,6,93,19026,281,179,33,25,6048,2,422,84,0.0010810811,2,2001-07-13 05:33:59,5,13
66,6259,5885,15504,9,19,0,1841,1.7933240979,2053,14,707,11518,497,194,71,79,12,6,7,11,2053,14,707,11518,497,194,71,79,12,6,7,36,13028,166,88,225,106,3135,0,225,11,0.0068356226,3,2001-07-13 05:38:59,9,15
67,5330,4097,13230,12,17,0,2176,1.7203849385,2332,4,860,8811,562,386,89,21,23,4,1,10,2332,4,860,8811,562,386,89,21,23,4,1,31,10708,119,59,95,88,2775,0,223,15,0.0066510468,3,2001-07-13 05:43:59,4,9
68,2259,716,4117,6,16,0,308,1.9408521303,419,5,527,2389,378,193,33,29,4,9,1,13,419,5,527,2389,378,193,33,29,4,9,1,53,3488,54,87,123,43,1166,0,107,19,0.0104444984,2,2001-07-13 05:48:59,6,11
69,2359,408,3403,2,16,0,77,2.3148696682,158,5,303,2084,420,240,18,69,68,7,3,11,158,5,303,2084,420,240,18,69,68,7,3,52,3121,21,105,18,19,1239,1,106,45,0.0055833088,2,2001-07-13 05:53:59,2,10
70,1425,5698,9453,4,15,0,934,1.9537097123,1063,2,657,5972,1063,349,43,50,36,8,3,10,1063,2,657,5972,1063,349,43,50,36,8,3,33,8111,86,82,160,75,2488,2,189,45,0.0079323109,2,2001-07-13 05:58:59,4,10
71,2722,3047,9099,4,15,0,1099,1.6623582766,1237,0,1699,5217,434,89,30,96,5,7,6,9,1237,0,1699,5217,434,89,30,96,5,7,6,73,7434,55,159,152,31,2186,2,144,18,0.0034069678,2,2001-07-13 06:03:59,4,9
72,2222,2084,8515,4,15,0,2144,1.5928092626,2445,0,983,3062,1217,341,60,61,20,5,10,11,2445,0,983,3062,1217,341,60,61,20,5,10,62,5688,232,79,306,80,2364,9,164,23,0.0093896714,2,2001-07-13 06:08:59,4,9
73,2134,866,5887,6,15,0,1581,1.3586512866,1852,3,716,2540,376,98,18,16,5,10,1,10,1852,3,716,2540,376,98,18,16,5,10,1,47,3706,211,90,196,67,1670,8,116,17,0.0113732813,3,2001-07-13 06:13:59,6,9
74,2849,963,5079,10,16,0,801,1.886280858,929,16,163,3143,373,174,53,57,18,7,0,17,929,16,163,3143,373,174,53,57,18,7,0,55,3934,61,91,121,17,1539,0,139,23,0.0033451397,2,2001-07-13 06:18:59,8,11
75,7314,10170,19695,4,15,0,983,2.0934001329,1086,17,254,14971,2700,387,50,57,6,24,1,13,1086,17,254,14971,2700,387,50,57,6,24,1,38,18318,54,168,117,28,4873,3,412,65,0.0014213919,2,2001-07-13 06:23:59,4,10
76,11833,12659,27392,5,15,0,1116,2.0956569746,1438,15,202,20920,3946,477,56,103,5,6,1,11,1438,15,202,20920,3946,477,56,103,5,6,1,64,25669,220,101,165,55,6740,6,520,114,0.0020075191,2,2001-07-13 06:28:59,4,10
77,12075,12035,30290,7,16,0,4449,1.8378548687,4852,3,269,20648,3918,357,52,31,8,5,6,14,4852,3,269,20648,3918,357,52,31,8,5,6,43,25184,351,125,83,12,7188,6,553,120,0.0003960919,1,2001-07-13 06:33:59,7,8
78,3728,2196,10134,5,15,0,2783,1.4045190962,3051,3,863,5353,562,125,24,13,1,5,2,10,3051,3,863,5353,562,125,24,13,1,5,2,52,6907,211,49,130,24,2662,0,214,51,0.0023680316,2,2001-07-13 06:38:59,5,12
79,2878,1791,5974,6,15,0,298,1.9539272356,502,16,711,3851,502,189,57,25,19,4,4,11,502,16,711,3851,502,189,57,25,19,4,4,81,5247,116,140,72,31,1468,7,142,19,0.005189153,1,2001-07-13 06:43:59,6,9
80,2389,1660,5036,4,15,0,330,1.9346445401,481,12,323,3547,301,161,12,33,1,5,2,13,481,12,323,3547,301,161,12,33,1,5,2,86,4368,61,36,153,36,1329,0,107,11,0.0071485306,1,2001-07-13 06:48:59,4,9
81,3656,5305,11032,3,15,0,959,1.9302454327,1211,9,338,7932,1013,223,26,45,32,8,1,10,1211,9,338,7932,1013,223,26,45,32,8,1,128,9467,78,206,177,77,2875,2,221,48,0.0069771656,3,2001-07-13 06:53:59,3,9
82,13344,10369,29998,5,15,0,4206,1.8371812485,4595,6,527,20594,3613,414,47,27,9,6,3,11,4595,6,527,20594,3613,414,47,27,9,6,3,99,25028,280,230,123,54,7069,5,491,142,0.0018,3,2001-07-13 06:58:59,5,9
83,5263,10390,19497,4,15,0,2454,1.8920300438,2756,2,216,13222,2496,380,38,50,3,6,3,10,2756,2,216,13222,2496,380,38,50,3,6,3,74,16268,220,156,261,154,4791,17,402,112,0.0078986511,3,2001-07-13 07:03:59,4,9
84,230,229,851,5,13,0,55,1.7334235453,156,0,215,198,105,24,19,7,4,5,6,9,156,0,215,198,105,24,19,7,4,5,6,61,550,28,45,99,26,295,0,82,1,0.0305522914,2,2001-07-13 07:08:59,5,9
85,122,171,686,4,12,0,54,1.8870292887,103,0,130,121,54,26,17,15,8,3,1,9,103,0,130,121,54,26,17,15,8,3,1,32,296,14,82,154,54,257,0,55,5,0.0787172012,2,2001-07-13 07:13:59,4,11
86,162,170,805,6,11,0,63,1.9391575663,128,0,168,159,94,39,26,11,10,3,2,11,128,0,168,159,94,39,26,11,10,3,2,30,449,25,74,102,62,283,0,38,5,0.0770186335,2,2001-07-13 07:18:59,6,8
87,152,193,1002,5,14,0,33,1.562992126,152,1,308,153,79,36,20,8,2,3,0,10,152,1,308,153,79,36,20,8,2,3,0,77,529,30,93,229,136,365,0,69,6,0.1357285429,3,2001-07-13 07:23:59,5,9
88,338,358,1214,6,15,0,83,1.8714821764,292,8,201,208,245,69,17,12,4,3,0,12,292,8,201,208,245,69,17,12,4,3,0,148,721,48,66,126,57,422,0,75,3,0.0469522241,2,2001-07-13 07:28:59,5,10
89,354,332,1512,10,17,0,98,2.2894472362,156,3,235,298,78,44,137,17,15,4,5,14,156,3,235,298,78,44,137,17,15,4,5,41,689,13,154,508,240,487,0,54,0,0.1587301587,3,2001-07-13 07:33:59,3,9
90,2348,2459,7557,5,15,0,203,2.6207285017,331,3,193,3187,504,405,304,231,88,35,39,13,331,3,193,3187,504,405,304,231,88,35,39,91,4831,17,184,2175,535,1315,1,99,137,0.0707859222,3,2001-07-13 07:38:59,4,10
91,445,388,1659,9,13,0,93,2.0771905424,298,4,335,282,260,149,60,18,16,2,9,11,298,4,335,282,260,149,60,18,16,2,9,103,1030,86,126,172,39,449,0,65,15,0.0235081374,2,2001-07-13 07:43:59,9,12
92,152,513,1037,5,19,0,36,1.6387711864,190,5,423,161,79,21,35,5,11,1,1,11,190,5,423,161,79,21,35,5,11,1,1,43,686,91,88,72,131,417,0,73,7,0.1263259402,2,2001-07-13 07:48:59,4,10
93,146,161,632,5,17,0,33,2.1259541985,154,4,86,124,64,50,12,5,7,1,4,17,154,4,86,124,64,50,12,5,7,1,4,48,311,46,86,92,44,321,0,37,6,0.0696202532,3,2001-07-13 07:53:59,5,10
94,406,316,1190,4,13,0,45,1.7777777778,216,0,449,108,105,123,26,13,25,5,1,9,216,0,449,108,105,123,26,13,25,5,1,112,716,33,165,113,53,375,0,36,3,0.0445378151,2,2001-07-13 07:58:59,4,10
95,276,266,1371,3,17,0,150,1.4749216301,435,2,344,222,151,70,22,10,9,5,1,13,435,2,344,222,151,70,22,10,9,5,1,75,757,152,142,87,21,435,11,69,25,0.0153172867,1,2001-07-13 08:03:59,3,10
96,302,231,914,5,18,0,32,1.993765586,172,2,218,191,113,62,12,6,7,1,1,16,172,2,218,191,113,62,12,6,7,1,1,44,489,90,147,59,70,384,0,45,24,0.0765864333,3,2001-07-13 08:08:59,5,11
97,336,377,1505,5,16,0,37,1.7611940299,420,7,256,197,165,27,68,33,19,4,6,11,420,7,256,197,165,27,68,33,19,4,6,141,596,225,207,256,61,491,0,104,8,0.0405315615,3,2001-07-13 08:13:59,5,11
98,231,226,5201,1,14,0,4199,0.3192315156,4590,3,122,173,109,63,45,29,7,4,1,12,4590,3,122,173,109,63,45,29,7,4,1,40,468,339,107,43,107,966,0,92,11,0.0205729667,2,2001-07-13 08:18:59,1,10
99,227,136,13953,6,12,0,12455,0.0897788058,13364,0,138,116,126,41,16,5,12,10,5,11,13364,0,138,116,126,41,16,5,12,10,5,91,381,816,91,90,43,2075,0,163,15,0.0030817745,3,2001-07-13 08:23:59,6,10
100,171,263,925,4,15,0,62,1.9341238472,170,1,241,123,88,79,25,5,9,8,3,12,170,1,241,123,88,79,25,5,9,8,3,33,489,58,117,121,55,338,0,55,0,0.0594594595,2,2001-07-13 08:28:59,4,10
101,227,176,679,11,13,0,36,2.3932411674,134,7,154,125,116,32,25,14,15,16,0,14,134,7,154,125,116,32,25,14,15,16,0,54,404,35,122,20,28,372,0,35,11,0.0412371134,3,2001-07-13 08:33:59,5,11
