;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_22_;edit_distance_dict_23_;edit_distance_dict_24_;edit_distance_dict_25_;edit_distance_dict_26_;edit_distance_dict_27_;edit_distance_dict_29_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_22_;edit_distance_unique_dict_23_;edit_distance_unique_dict_24_;edit_distance_unique_dict_25_;edit_distance_unique_dict_26_;edit_distance_unique_dict_27_;edit_distance_unique_dict_29_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
31;625;741;3114;4;15;0;236;1.7943534332520041;977;41;9;25;3;0;0;0;0;0;0;762;0;0;0;0;0;0;0;0;0;354;321;231;64;21;10;32;19;13;977;41;9;25;3;0;0;0;0;0;0;762;0;0;0;0;0;0;0;0;0;354;321;231;64;21;10;32;19;134;1494;523;482;188;8;1218;0;112;90;0.002569043031470777;2;2001-09-26 02:39:07;1001471947;4;11
32;528;499;3592;4;16;0;293;1.5776372975108652;1150;24;21;25;5;8;0;0;0;0;0;437;0;0;0;0;0;0;0;0;0;342;312;117;55;16;3;16;0;14;1150;24;21;25;5;8;0;0;0;0;0;437;0;0;0;0;0;0;0;0;0;342;312;117;55;16;3;16;0;105;1150;650;333;924;31;1382;0;140;77;0.008630289532293986;2;2001-09-26 02:44:07;1001472247;4;10
33;700;937;5481;3;15;0;533;1.275783734666061;1952;10;9;3;0;0;0;0;0;0;0;1058;0;0;0;0;0;0;0;0;0;572;404;177;110;58;31;18;0;12;1952;10;9;3;0;0;0;0;0;0;0;1058;0;0;0;0;0;0;0;0;0;572;404;177;110;58;31;18;0;288;2132;972;477;906;13;1424;0;170;84;0.0023718299580368545;2;2001-09-26 02:49:07;1001472547;3;12
34;511;684;3334;4;18;0;222;1.6730906495360456;999;9;1;0;1;0;0;0;0;0;0;620;0;0;0;0;0;0;0;0;0;458;312;151;96;91;41;22;1;13;999;9;1;0;1;0;0;0;0;0;0;620;0;0;0;0;0;0;0;0;0;458;312;151;96;91;41;22;1;160;1425;559;436;444;28;1494;0;215;106;0.008398320335932814;2;2001-09-26 02:54:07;1001472847;4;12
35;592;605;3205;3;16;0;256;1.6079609463011642;899;5;3;0;0;0;0;0;0;0;0;593;0;0;0;0;0;0;0;0;0;486;419;106;62;23;34;30;3;11;899;5;3;0;0;0;0;0;0;0;0;593;0;0;0;0;0;0;0;0;0;486;419;106;62;23;34;30;3;101;1570;484;252;511;39;1193;1;163;87;0.012168486739469579;2;2001-09-26 02:59:07;1001473147;3;10
36;614;634;3131;3;15;0;259;1.7540489642184558;916;11;8;4;2;0;0;0;0;0;0;554;0;0;0;0;0;0;0;0;0;391;415;168;88;46;22;8;22;13;916;11;8;4;2;0;0;0;0;0;0;554;0;0;0;0;0;0;0;0;0;391;415;168;88;46;22;8;22;72;1441;510;373;442;16;1596;0;144;103;0.005110188438198659;2;2001-09-26 03:04:07;1001473447;3;9
37;598;444;2684;4;16;0;195;1.684692942254812;841;9;2;11;6;0;0;0;0;0;0;478;0;0;0;0;0;0;0;0;0;274;262;117;83;47;42;7;3;13;841;9;2;11;6;0;0;0;0;0;0;478;0;0;0;0;0;0;0;0;0;274;262;117;83;47;42;7;3;66;1186;525;210;477;32;1202;0;106;77;0.011922503725782414;2;2001-09-26 03:09:07;1001473747;4;11
38;518;602;2650;4;14;0;235;1.571488469601677;910;1;0;0;0;0;0;0;0;0;0;492;0;0;0;0;0;0;0;0;0;265;399;169;92;30;15;10;2;10;910;1;0;0;0;0;0;0;0;0;0;492;0;0;0;0;0;0;0;0;0;265;399;169;92;30;15;10;2;133;1235;491;291;245;10;1263;0;196;89;0.0037735849056603774;1;2001-09-26 03:14:07;1001474047;4;11
39;887;891;4963;4;13;0;891;1.1702175883952857;2100;10;0;0;0;0;0;0;0;0;0;889;0;0;0;0;0;0;0;0;0;673;437;119;105;45;26;8;0;10;2100;10;0;0;0;0;0;0;0;0;0;889;0;0;0;0;0;0;0;0;0;673;437;119;105;45;26;8;0;234;2070;862;355;532;14;1577;0;209;120;0.0028208744710860366;1;2001-09-26 03:19:07;1001474347;4;10
40;1880;943;9224;4;25;0;789;1.7327063106796117;2539;12;216;6;9;3;3;0;0;0;0;1310;0;0;1;0;0;0;0;0;0;1322;496;381;151;105;27;11;0;22;2539;12;216;6;9;3;3;0;0;0;0;1310;0;0;1;0;0;0;0;0;0;1322;496;381;151;105;27;11;0;154;3640;1460;549;2459;68;2728;0;225;224;0.007372072853425846;2;2001-09-26 03:24:07;1001474647;4;11
