,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_21_,edit_distance_dict_22_,edit_distance_dict_23_,edit_distance_dict_24_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_21_,edit_distance_unique_dict_22_,edit_distance_unique_dict_23_,edit_distance_unique_dict_24_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
33,119,79,342,2,22,17,2.3006329114,89,3,2,1,1,0,0,0,0,0,0,44,2,0,0,0,0,64,62,27,8,3,2,0,8,20,89,3,2,1,1,0,0,0,0,0,0,44,2,0,0,0,0,64,62,27,8,3,2,0,8,36,183,31,49,17,4,183,7,25,6,0.0116959064,2,2001-07-14 02:54:11,2,11,0
34,193,99,573,5,24,16,2.7466367713,81,0,0,0,0,0,0,0,0,0,0,95,2,7,5,0,0,84,96,37,22,8,1,8,0,22,81,0,0,0,0,0,0,0,0,0,0,95,2,7,5,0,0,84,96,37,22,8,1,8,0,40,279,17,94,116,5,243,0,35,26,0.0087260035,1,2001-07-14 02:59:11,5,11,0
35,163,275,869,6,15,69,2.1934306569,205,8,0,0,12,0,0,0,0,0,0,91,0,0,0,0,0,305,59,101,13,4,4,12,8,13,205,8,0,0,12,0,0,0,0,0,0,91,0,0,0,0,0,305,59,101,13,4,4,12,8,106,464,15,168,39,8,277,0,43,3,0.0092059839,2,2001-07-14 03:04:11,6,8,0
36,145,165,677,2,22,27,2.2554455446,101,0,1,1,0,0,0,0,0,0,1,113,3,0,0,0,0,113,57,68,35,4,8,0,0,20,101,0,1,1,0,0,0,0,0,0,1,113,3,0,0,0,0,113,57,68,35,4,8,0,0,30,320,24,104,168,15,252,0,38,10,0.0221565731,4,2001-07-14 03:09:11,2,10,0
37,89,98,335,5,23,22,2.2,76,4,0,0,0,0,0,0,0,0,0,62,1,0,0,0,0,63,48,24,16,9,1,1,5,20,76,4,0,0,0,0,0,0,0,0,0,62,1,0,0,0,0,63,48,24,16,9,1,1,5,24,170,20,74,18,4,158,0,24,5,0.0119402985,2,2001-07-14 03:14:11,5,9,0
38,292,193,1036,5,18,25,2.1133004926,95,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,262,137,47,14,1,0,5,0,8,95,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,262,137,47,14,1,0,5,0,49,463,17,55,222,6,143,0,33,25,0.0057915058,3,2001-07-14 03:19:11,5,8,0
39,135,78,422,6,12,41,2.1943573668,75,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,43,62,56,13,10,2,1,0,8,75,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,43,62,56,13,10,2,1,0,25,225,7,21,71,10,161,0,18,5,0.0236966825,3,2001-07-14 03:24:11,6,9,0
40,136,112,482,3,25,10,2.16,130,0,0,4,0,0,0,7,1,1,0,129,3,2,2,0,0,95,34,19,12,6,2,3,0,22,130,0,0,4,0,0,0,7,1,1,0,129,3,2,2,0,0,95,34,19,12,6,2,3,0,68,224,32,116,27,3,184,0,46,22,0.0062240664,2,2001-07-14 03:29:11,3,9,0
41,129,106,404,14,21,25,2.625,82,0,0,2,3,5,0,1,4,4,0,95,0,0,0,0,0,78,44,16,9,10,5,0,10,18,82,0,0,2,3,5,0,1,4,4,0,95,0,0,0,0,0,78,44,16,9,10,5,0,10,27,245,20,51,30,4,190,0,42,20,0.0099009901,1,2001-07-14 03:34:11,7,9,0
42,465,187,1046,3,24,37,2.8775079197,139,0,1,3,22,0,0,0,0,0,1,215,0,0,1,0,0,180,169,55,46,49,26,17,23,22,139,0,1,3,22,0,0,0,0,0,1,215,0,0,1,0,0,180,169,55,46,49,26,17,23,42,704,48,116,79,8,323,0,43,7,0.0076481836,2,2001-07-14 03:39:11,3,10,0
