,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
54,287,250,814,5,14,15,2.6858345021,105,4,0,0,0,0,0,0,0,0,0,143,0,55,182,117,69,18,11,3,6,10,105,4,0,0,0,0,0,0,0,0,0,143,0,55,182,117,69,18,11,3,6,55,528,26,89,84,26,263,0,44,15,0.0319410319,3,2001-07-16 04:39:36,5,11,0
55,212,473,6780,4,14,48,2.0173913043,230,0,0,0,0,0,0,0,0,0,0,207,0,273,145,74,58,32,6,10,0,8,230,0,0,0,0,0,0,0,0,0,0,207,0,273,145,74,58,32,6,10,0,143,659,35,150,263,911,1558,3,200,11,0.1343657817,2,2001-07-16 04:44:36,4,9,0
56,694,690,2062,4,14,32,2.0627240143,226,0,0,0,0,0,0,0,0,0,0,324,0,593,320,150,25,14,6,12,4,9,226,0,0,0,0,0,0,0,0,0,0,324,0,593,320,150,25,14,6,12,4,170,1303,16,153,366,13,286,0,107,4,0.0063045587,2,2001-07-16 04:49:36,4,8,0
57,100,148,493,7,14,24,2.0338983051,121,0,2,0,0,0,0,0,0,0,0,67,0,86,56,41,18,11,4,0,7,11,121,0,2,0,0,0,0,0,0,0,0,67,0,86,56,41,18,11,4,0,7,47,223,42,77,46,8,232,0,74,35,0.0162271805,2,2001-07-16 04:54:36,5,10,0
58,192,143,745,6,15,57,1.7585089141,167,0,0,0,0,0,0,0,0,0,0,137,0,166,79,30,12,5,1,18,2,9,167,0,0,0,0,0,0,0,0,0,0,137,0,166,79,30,12,5,1,18,2,35,417,53,55,95,12,294,0,41,3,0.0161073826,3,2001-07-16 04:59:36,6,10,0
59,69,94,451,6,15,44,1.5865102639,125,0,0,0,0,0,0,0,0,0,0,58,0,54,69,17,12,4,1,0,1,9,125,0,0,0,0,0,0,0,0,0,0,58,0,54,69,17,12,4,1,0,1,41,164,27,65,100,11,222,0,46,3,0.0243902439,3,2001-07-16 05:04:36,6,11,0
60,87,80,423,2,14,31,1.670487106,132,1,0,0,0,0,0,0,0,0,0,59,0,65,43,20,11,11,4,1,2,10,132,1,0,0,0,0,0,0,0,0,0,59,0,65,43,20,11,11,4,1,2,37,148,59,74,67,8,222,0,55,43,0.0189125296,2,2001-07-16 05:09:36,2,10,0
61,106,138,553,7,13,51,1.8893442623,145,2,0,0,0,0,0,0,0,0,0,137,0,79,48,19,16,9,11,22,0,10,145,2,0,0,0,0,0,0,0,0,0,137,0,79,48,19,16,9,11,22,0,61,304,23,49,60,10,290,0,64,3,0.0180831826,2,2001-07-16 05:14:36,4,9,0
62,182,246,979,5,12,110,1.7877169559,200,0,0,0,0,0,0,0,0,0,0,184,0,90,184,65,7,10,6,1,2,9,200,0,0,0,0,0,0,0,0,0,0,184,0,90,184,65,7,10,6,1,2,52,329,30,228,191,9,257,0,84,89,0.0091930541,1,2001-07-16 05:19:36,5,11,0
63,352,394,1213,2,21,86,1.8336448598,250,1,1,1,8,0,0,0,0,0,8,341,0,256,94,58,29,11,5,3,4,19,250,1,1,1,8,0,0,0,0,0,8,341,0,256,94,58,29,11,5,3,4,110,732,37,105,116,5,344,0,119,20,0.0041220115,1,2001-07-16 05:24:36,2,11,0
