,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
36,130,170,725,3,11,97,1.6015384615,196,0,0,0,0,0,0,0,0,0,0,185,111,65,40,41,10,2,0,0,7,196,0,0,0,0,0,0,0,0,0,0,185,111,65,40,41,10,2,0,0,59,373,28,93,44,18,371,0,55,12,0.0248275862,2,2001-07-20 03:10:28,3,10,0
37,1202,898,4179,5,18,122,1.9926650367,806,0,0,0,0,0,0,1,0,0,0,724,712,959,240,162,34,32,3,8,16,806,0,0,0,0,0,0,1,0,0,0,724,712,959,240,162,34,32,3,8,445,2742,210,162,418,35,899,5,146,119,0.0083712031,1,2001-07-20 03:15:28,4,10,0
38,1300,1121,5003,3,21,140,2.1088328076,987,36,50,11,19,0,0,3,1,0,0,1187,683,873,306,164,72,25,7,14,17,987,36,50,11,19,0,0,3,1,0,0,1187,683,873,306,164,72,25,7,14,480,3247,319,252,511,48,1093,8,170,114,0.0095942435,2,2001-07-20 03:20:28,3,11,0
39,437,508,2260,3,19,72,1.9670758929,513,7,1,0,0,0,0,6,2,0,0,456,247,135,299,55,41,8,12,10,17,513,7,1,0,0,0,0,6,2,0,0,456,247,135,299,55,41,8,12,10,177,1122,165,256,227,55,743,1,82,57,0.0243362832,3,2001-07-20 03:25:28,3,11,0
40,360,313,1246,4,19,113,2.3212583413,225,7,4,1,0,2,1,0,1,0,0,214,222,133,97,89,28,13,8,4,17,225,7,4,1,0,2,1,0,1,0,0,214,222,133,97,89,28,13,8,4,50,646,48,192,154,17,568,0,85,19,0.0136436597,1,2001-07-20 03:30:28,4,11,0
41,281,673,2290,6,17,212,1.8628571429,604,7,1,2,0,0,0,0,0,0,0,357,239,211,102,143,25,58,1,0,12,604,7,1,2,0,0,0,0,0,0,0,357,239,211,102,143,25,58,1,0,149,831,182,376,338,36,667,1,101,39,0.015720524,3,2001-07-20 03:35:28,6,11,0
42,447,511,1777,5,15,124,1.864160097,428,0,2,0,0,0,0,0,0,0,0,441,317,182,106,105,32,7,20,9,11,428,0,2,0,0,0,0,0,0,0,0,441,317,182,106,105,32,7,20,9,87,925,201,312,89,24,730,2,83,22,0.0135059088,2,2001-07-20 03:40:28,5,11,0
43,233,358,1279,4,14,85,2.0361781076,278,6,0,10,0,0,0,0,0,0,0,272,198,118,68,77,25,23,2,1,12,278,6,0,10,0,0,0,0,0,0,0,272,198,118,68,77,25,23,2,1,73,667,100,153,188,25,499,0,79,18,0.0195465207,2,2001-07-20 03:45:28,4,11,0
44,356,412,1956,4,13,180,1.5160703457,445,0,0,0,0,0,0,0,0,0,0,528,385,113,106,18,36,13,3,2,9,445,0,0,0,0,0,0,0,0,0,0,528,385,113,106,18,36,13,3,2,51,1052,138,228,200,20,586,1,58,25,0.0102249489,2,2001-07-20 03:50:28,4,10,0
45,276,268,976,3,15,52,1.9101861993,185,0,0,0,0,0,0,0,0,0,0,293,164,106,91,34,17,18,2,3,9,185,0,0,0,0,0,0,0,0,0,0,293,164,106,91,34,17,18,2,3,74,564,39,184,41,15,455,0,61,10,0.0153688525,3,2001-07-20 03:55:28,3,12,0
