,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
157,1324,11,84,781,460,483,0,2001-09-20 13:15:10,1000991710,33,276
158,1874,17,151,1177,473,564,0,2001-09-20 13:20:10,1000992010,182,564
159,2454,16,159,1718,790,852,0,2001-09-20 13:25:10,1000992310,184,593
160,1922,26,145,1461,452,741,0,2001-09-20 13:30:10,1000992610,40,353
161,1480,22,92,903,642,557,0,2001-09-20 13:35:10,1000992910,21,268
162,2461,17,74,1192,1411,662,0,2001-09-20 13:40:10,1000993210,211,506
163,2997,21,147,2375,1373,997,0,2001-09-20 13:45:10,1000993510,70,491
164,2281,12,173,1605,861,775,0,2001-09-20 13:50:10,1000993810,38,407
165,1840,15,151,1320,807,693,0,2001-09-20 13:55:10,1000994110,202,502
166,1877,19,150,1221,561,709,0,2001-09-20 14:00:10,1000994410,223,553
167,1811,22,404,1042,784,669,7,2001-09-20 14:05:10,1000994710,40,205
168,1541,22,159,965,576,525,3,2001-09-20 14:10:10,1000995010,193,502
169,5011,14,110,3031,4001,1398,1,2001-09-20 14:15:10,1000995310,39,186
170,2692,17,976,1304,1231,1030,0,2001-09-20 14:20:10,1000995610,38,274
171,2106,19,175,1253,848,710,0,2001-09-20 14:25:10,1000995910,19,267
172,1312,14,55,960,440,642,1,2001-09-20 14:30:10,1000996210,30,366
173,2655,10,115,1770,1047,861,2,2001-09-20 14:35:10,1000996510,21,250
174,2424,15,168,1413,848,772,3,2001-09-20 14:40:10,1000996810,38,230
175,1345,10,60,1024,442,517,0,2001-09-20 14:45:10,1000997110,21,239
176,2876,12,130,2074,1227,709,0,2001-09-20 14:50:10,1000997410,44,530
177,1448,15,79,1035,376,560,0,2001-09-20 14:55:10,1000997710,31,238
178,838,11,61,581,250,341,0,2001-09-20 15:00:10,1000998010,13,242
179,2471,14,80,1588,635,476,0,2001-09-20 15:05:10,1000998310,185,521
180,1911,16,147,1249,674,690,8,2001-09-20 15:10:10,1000998610,25,196
181,2445,11,334,1579,698,613,0,2001-09-20 15:15:10,1000998910,40,243
182,1315,12,66,753,493,451,0,2001-09-20 15:20:10,1000999210,49,152
183,1162,17,66,854,335,492,0,2001-09-20 15:25:10,1000999510,15,181
184,1027,14,103,663,288,448,0,2001-09-20 15:30:10,1000999810,41,256
185,1171,9,54,779,285,467,0,2001-09-20 15:35:10,1001000110,14,263
186,997,14,90,691,259,376,0,2001-09-20 15:40:10,1001000410,16,202
187,1611,15,87,1108,503,425,0,2001-09-20 15:45:10,1001000710,57,314
188,1557,17,170,1011,655,571,0,2001-09-20 15:50:10,1001001010,40,283
189,995,13,75,672,406,431,4,2001-09-20 15:55:10,1001001310,12,193
190,839,12,60,561,262,392,0,2001-09-20 16:00:10,1001001610,17,181
191,987,14,54,731,274,497,0,2001-09-20 16:05:10,1001001910,29,182
192,1333,13,61,1103,363,386,0,2001-09-20 16:10:10,1001002210,11,201
193,1267,13,59,873,391,481,0,2001-09-20 16:15:10,1001002510,15,167
194,805,13,138,496,301,389,0,2001-09-20 16:20:10,1001002810,22,174
195,908,21,99,605,200,436,0,2001-09-20 16:25:10,1001003110,26,169
196,1631,12,114,1042,566,462,0,2001-09-20 16:30:10,1001003410,31,424
197,844,15,81,592,215,349,0,2001-09-20 16:35:10,1001003710,15,160
198,1137,15,195,707,322,450,0,2001-09-20 16:40:10,1001004010,35,214
199,667,15,74,458,205,329,0,2001-09-20 16:45:10,1001004310,20,130
200,1230,13,130,692,300,472,0,2001-09-20 16:50:10,1001004610,12,183
201,1239,11,91,883,355,462,0,2001-09-20 16:55:10,1001004910,10,202
202,1077,16,94,722,320,575,0,2001-09-20 17:00:10,1001005210,28,263
203,1448,19,112,918,288,368,6,2001-09-20 17:05:10,1001005510,19,192
204,998,19,90,690,294,373,0,2001-09-20 17:10:10,1001005810,26,184
205,917,15,73,641,257,451,0,2001-09-20 17:15:10,1001006110,29,187
206,2192,13,154,1457,488,717,0,2001-09-20 17:20:10,1001006410,108,456
207,2373,13,262,1470,641,656,0,2001-09-20 17:25:10,1001006710,82,380
208,1571,15,92,1219,408,435,0,2001-09-20 17:30:10,1001007010,25,433
