,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
156,1076,15,18,701.0,379,339,3,2001-07-17 13:09:52,995375392,15,278
157,2303,14,60,1670.0,409,482,0,2001-07-17 13:14:52,995375692,20,483
158,1417,17,18,1223.0,374,589,0,2001-07-17 13:19:52,995375992,15,230
159,958,14,24,587.0,370,365,0,2001-07-17 13:24:52,995376292,28,407
160,804,13,23,470.0,290,315,0,2001-07-17 13:29:52,995376592,29,288
161,1769,17,115,1193.0,353,494,0,2001-07-17 13:34:52,995376892,68,413
162,837,13,31,451.0,317,295,0,2001-07-17 13:39:52,995377192,9,194
163,1428,15,75,991.0,319,451,0,2001-07-17 13:44:52,995377492,36,395
164,1398,15,60,1056.0,371,321,0,2001-07-17 13:49:52,995377792,20,282
165,3206,14,78,2368.0,562,665,0,2001-07-17 13:54:52,995378092,92,845
166,1989,19,61,1555.0,470,599,0,2001-07-17 13:59:52,995378392,12,427
167,1208,16,93,813.0,359,437,0,2001-07-17 14:04:52,995378692,30,166
168,1336,16,57,908.0,438,366,0,2001-07-17 14:09:52,995378992,15,428
169,1694,12,211,1104.0,373,336,0,2001-07-17 14:14:52,995379292,26,304
170,806,12,141,369.0,378,281,0,2001-07-17 14:19:52,995379592,6,239
171,989,12,49,525.0,331,414,4,2001-07-17 14:24:52,995379892,7,192
172,1130,14,22,697.0,547,394,9,2001-07-17 14:29:52,995380192,18,404
173,725,14,28,453.0,217,307,0,2001-07-17 14:34:52,995380492,18,215
174,838,15,32,564.0,263,364,0,2001-07-17 14:39:52,995380792,31,160
175,1082,12,54,746.0,296,458,0,2001-07-17 14:44:52,995381092,56,327
176,489,12,48,287.0,146,234,0,2001-07-17 14:49:52,995381392,23,183
177,933,13,21,475.0,308,319,0,2001-07-17 14:54:52,995381692,38,320
178,1053,12,87,617.0,266,340,0,2001-07-17 14:59:52,995381992,5,231
179,1122,11,63,770.0,242,282,0,2001-07-17 15:04:52,995382292,5,188
180,1043,17,42,683.0,299,340,0,2001-07-17 15:09:52,995382592,32,194
181,1409,12,49,988.0,405,357,0,2001-07-17 15:14:52,995382892,18,234
182,861,14,71,670.0,253,355,0,2001-07-17 15:19:52,995383192,10,110
183,1378,14,41,1029.0,351,305,0,2001-07-17 15:24:52,995383492,16,144
184,814,15,27,530.0,203,330,0,2001-07-17 15:29:52,995383792,18,174
185,827,15,43,553.0,269,344,0,2001-07-17 15:34:52,995384092,21,228
186,1828,13,100,1280.0,478,497,0,2001-07-17 15:39:52,995384392,16,237
187,657,12,42,355.0,253,307,0,2001-07-17 15:44:52,995384692,21,211
188,850,15,29,488.0,294,282,0,2001-07-17 15:49:52,995384992,5,220
189,865,12,69,519.0,241,248,0,2001-07-17 15:54:52,995385292,8,269
190,904,14,360,334.0,515,342,0,2001-07-17 15:59:52,995385592,15,114
191,1286,12,131,820.0,419,382,0,2001-07-17 16:04:52,995385892,30,273
192,936,11,55,609.0,256,348,0,2001-07-17 16:09:52,995386192,29,249
193,586,13,30,307.0,215,288,0,2001-07-17 16:14:52,995386492,9,172
194,857,12,31,513.0,266,366,0,2001-07-17 16:19:52,995386792,33,298
195,1276,14,53,966.0,513,396,0,2001-07-17 16:24:52,995387092,15,128
196,438,11,13,217.0,170,240,0,2001-07-17 16:29:52,995387392,28,141
197,986,14,13,733.0,429,343,0,2001-07-17 16:34:52,995387692,6,158
198,1135,13,73,776.0,165,325,0,2001-07-17 16:39:52,995387992,60,336
199,796,13,25,564.0,221,349,0,2001-07-17 16:44:52,995388292,32,159
200,1204,14,98,928.0,315,401,0,2001-07-17 16:49:52,995388592,38,233
201,1803,13,53,1230.0,438,565,0,2001-07-17 16:54:52,995388892,22,250
202,8682,15,82,8144.0,4262,1843,4,2001-07-17 16:59:52,995389192,60,459
203,1009,13,11,815.0,284,341,0,2001-07-17 17:04:52,995389492,11,119
204,527,14,15,363.0,192,302,0,2001-07-17 17:09:52,995389792,15,122
205,546,14,22,359.0,168,302,0,2001-07-17 17:14:52,995390092,6,109
206,1004,15,12,809.0,330,338,0,2001-07-17 17:19:52,995390392,15,169
207,1335,13,203,935.0,381,370,0,2001-07-17 17:24:52,995390692,37,220
208,950,14,82,657.0,216,374,0,2001-07-17 17:29:52,995390992,17,167
209,1636,14,54,1100.0,357,378,0,2001-07-17 17:34:52,995391292,19,421
210,886,14,32,556.0,243,372,0,2001-07-17 17:39:52,995391592,8,191
211,686,15,37,447.0,229,372,0,2001-07-17 17:44:52,995391892,27,213
212,910,14,33,492.0,281,371,0,2001-07-17 17:49:52,995392192,11,237
213,753,12,39,480.0,211,352,0,2001-07-17 17:54:52,995392492,20,213
214,1426,19,70,1036.0,435,515,0,2001-07-17 17:59:52,995392792,17,189
215,853,15,75,537.0,373,333,0,2001-07-17 18:04:52,995393092,32,218
216,1397,15,19,1026.0,271,301,0,2001-07-17 18:09:52,995393392,42,244
217,755,12,51,496.0,201,322,0,2001-07-17 18:14:52,995393692,36,222
218,779,13,23,558.0,262,326,0,2001-07-17 18:19:52,995393992,16,104
219,567,12,30,387.0,213,278,0,2001-07-17 18:24:52,995394292,14,135
220,448,14,25,278.0,131,214,0,2001-07-17 18:29:52,995394592,12,121
221,573,12,38,347.0,154,288,0,2001-07-17 18:34:52,995394892,17,129
222,679,14,23,515.0,204,238,0,2001-07-17 18:39:52,995395192,4,87
223,699,12,45,435.0,250,302,0,2001-07-17 18:44:52,995395492,62,214
224,1144,12,24,695.0,429,322,0,2001-07-17 18:49:52,995395792,15,341
225,2132,13,153,1428.0,510,478,0,2001-07-17 18:54:52,995396092,71,292
226,933,20,54,612.0,257,442,0,2001-07-17 18:59:52,995396392,28,210
227,2574,15,213,1995.0,1097,676,0,2001-07-17 19:04:52,995396692,37,342
228,906,13,145,533.0,255,298,0,2001-07-17 19:09:52,995396992,6,120
229,679,20,126,314.0,235,303,0,2001-07-17 19:14:52,995397292,11,343
230,2139,19,22,1375.0,819,550,6,2001-07-17 19:19:52,995397592,13,105
231,1442,13,40,832.0,751,436,2,2001-07-17 19:24:52,995397892,9,534
232,768,13,16,514.0,343,329,0,2001-07-17 19:29:52,995398192,30,289
233,837,13,132,467.0,358,326,0,2001-07-17 19:34:52,995398492,51,237
234,1027,14,49,679.0,354,370,0,2001-07-17 19:39:52,995398792,30,221
235,928,13,33,601.0,307,292,0,2001-07-17 19:44:52,995399092,12,270
236,765,20,99,486.0,237,268,0,2001-07-17 19:49:52,995399392,30,184
